NN_Predicted_V1,NN_Predicted_V2,NN_Predicted_V3
2425.5056,2425.6067,2425.5662
2433.7642,2433.7368,2433.7537
2432.5034,2432.4797,2432.4993
2433.5376,2433.5237,2433.5444
2435.699,2435.6975,2435.7175
2432.9702,2432.9685,2432.9893
2431.3333,2431.3325,2431.353
2430.0632,2430.0623,2430.0818
2431.4912,2431.4944,2431.5117
2431.5361,2431.5464,2431.5588
2430.7258,2430.7332,2430.743
2432.6663,2432.675,2432.6807
2434.1313,2434.1401,2434.142
2436.0203,2436.029,2436.028
2437.9478,2437.9563,2437.9524
2440.696,2440.7063,2440.6995
2444.7988,2444.813,2444.804
2446.4468,2446.4592,2446.45
2442.8381,2442.8567,2442.8428
2442.4407,2442.4739,2442.4543
2433.6958,2433.877,2433.8047
2432.8645,2433.028,2432.9624
2437.871,2437.8755,2437.8699
2434.9336,2434.9497,2434.9414
2433.7517,2433.772,2433.766
2436.436,2436.423,2436.4368
2435.825,2435.8174,2435.8337
2435.7686,2435.768,2435.7856
2438.0454,2438.057,2438.074
2436.3682,2436.3816,2436.399
2435.3774,2435.3926,2435.4097
2436.042,2436.0605,2436.0764
2436.3052,2436.325,2436.339
2436.6345,2436.662,2436.6682
2437.6074,2437.635,2437.6382
2441.2622,2441.2947,2441.2932
2444.4558,2444.492,2444.486
2447.135,2447.173,2447.1636
2452.607,2452.653,2452.6394
2458.757,2458.8135,2458.796
2464.0645,2464.1294,2464.1091
2463.2817,2463.3406,2463.3203
2444.711,2445.0515,2444.9265
2365.2598,2365.4382,2365.3489
2351.36,2351.5447,2351.4487
2343.4067,2343.5627,2343.4749
2343.155,2343.3074,2343.2217
2359.1008,2359.3884,2359.2595
2416.1462,2416.5476,2416.3997
2442.3433,2442.351,2442.3586
2442.665,2442.6807,2442.69
2442.6604,2442.6838,2442.6936
2444.5046,2444.5398,2444.5488
2441.3228,2441.3555,2441.3655
2439.0037,2439.0344,2439.045
2437.639,2437.6687,2437.6787
2435.0957,2435.1208,2435.1296
2432.0276,2432.0488,2432.051
2430.5166,2430.534,2430.5332
2436.2546,2436.28,2436.275
2438.4504,2438.4773,2438.4683
2439.0715,2439.0964,2439.0845
2441.916,2441.943,2441.9277
2445.9158,2445.9473,2445.9287
2451.667,2451.7063,2451.6853
2451.8496,2451.8848,2451.8633
2386.0815,2386.0095,2386.0098
2366.8643,2366.7485,2366.7612
2355.274,2355.1294,2355.1501
2349.1912,2349.0354,2349.0596
2354.8098,2354.672,2354.6914
2372.9736,2372.8782,2372.8865
2445.2893,2445.301,2445.3003
2451.5464,2451.5784,2451.5789
2455.1326,2455.1826,2455.1824
2457.9404,2458.0066,2458.0046
2459.9915,2460.0715,2460.0671
2457.5505,2457.6284,2457.6252
2456.3408,2456.4172,2456.4148
2453.4734,2453.5422,2453.5415
2451.0264,2451.0884,2451.088
2449.8318,2449.8845,2449.8828
2448.6672,2448.7156,2448.7112
2449.463,2449.5107,2449.5027
2450.9797,2451.029,2451.0168
2454.865,2454.92,2454.9036
2458.6663,2458.7268,2458.7065
2462.1384,2462.2039,2462.1807
2466.428,2466.5,2466.4744
2466.9297,2466.998,2466.9724
2462.634,2462.687,2462.6633
2389.996,2389.9377,2389.931
2371.8809,2371.7876,2371.7903
2358.8506,2358.721,2358.7349
2367.2412,2367.1245,2367.1357
2444.7644,2444.7734,2444.7666
2442.9211,2442.959,2442.9448
2447.7756,2447.7932,2447.795
2447.4897,2447.514,2447.517
2447.3977,2447.4297,2447.4333
2450.017,2450.0637,2450.0657
2446.7317,2446.7751,2446.7783
2444.7253,2444.7668,2444.7708
2443.8003,2443.8408,2443.8445
2441.8552,2441.8916,2441.8943
2439.7646,2439.7878,2439.7927
2439.7012,2439.7234,2439.725
2441.3618,2441.3862,2441.384
2442.5413,2442.5662,2442.56
2443.9578,2443.983,2443.9736
2446.5938,2446.6213,2446.6086
2450.514,2450.5461,2450.5305
2456.3113,2456.3523,2456.3342
2458.3074,2458.3481,2458.3293
2457.5828,2457.6165,2457.5989
2372.494,2372.384,2372.3948
2358.945,2358.8008,2358.8213
2369.9453,2369.8262,2369.839
2358.8525,2358.7122,2358.7314
2373.166,2373.0613,2373.0715
2447.5696,2447.5757,2447.5774
2453.7236,2453.7473,2453.7507
2456.5493,2456.5894,2456.5918
2459.099,2459.1555,2459.156
2462.9006,2462.977,2462.974
2462.1914,2462.271,2462.268
2463.6213,2463.7073,2463.7034
2464.633,2464.721,2464.7168
2465.008,2465.0947,2465.0903
2464.9277,2465.0063,2465.0063
2466.0933,2466.172,2466.1702
2468.738,2468.8208,2468.8154
2470.482,2470.5664,2470.5576
2471.9868,2472.072,2472.0603
2474.4385,2474.5276,2474.5125
2477.5012,2477.5955,2477.5774
2482.005,2482.1084,2482.0876
2481.364,2481.4612,2481.4404
2464.5742,2464.903,2464.7905
2382.8157,2383.0469,2382.9417
2365.19,2365.4219,2365.311
2357.1917,2357.45,2357.3267
2361.649,2361.8684,2361.761
2386.8481,2386.9824,2386.9126
2452.6968,2452.816,2452.781
2460.0132,2460.0488,2460.0542
2458.4539,2458.494,2458.5002
2456.8809,2456.9253,2456.9321
2457.6113,2457.6655,2457.6714
2454.0242,2454.0735,2454.0815
2451.929,2451.9753,2451.9846
2449.9192,2449.9607,2449.971
2448.0496,2448.0862,2448.0962
2445.4216,2445.4526,2445.464
2443.3455,2443.3706,2443.3796
2443.3108,2443.334,2443.3396
2443.9712,2443.9934,2443.9954
2445.1482,2445.17,2445.1682
2446.3135,2446.3345,2446.3298
2447.9478,2447.9683,2447.9614
2451.654,2451.6782,2451.6692
2452.3977,2452.419,2452.4097
2443.6514,2443.7576,2443.7134
2439.1553,2439.3193,2439.2537
2432.4873,2432.7415,2432.6443
2373.0093,2373.1113,2373.0522
2368.5154,2368.5,2368.4822
2429.301,2429.4236,2429.3738
2424.6409,2424.8381,2424.7632
2437.1436,2437.1233,2437.1394
2435.5762,2435.5593,2435.5781
2435.8386,2435.8303,2435.85
2438.11,2438.1143,2438.1335
2436.2583,2436.2634,2436.2832
2435.837,2435.8452,2435.8645
2435.9487,2435.9595,2435.9778
2435.5728,2435.5837,2435.6003
