XGB_Predicted_V1,XGB_Predicted_V2,XGB_Predicted_V3
2429.9536,2418.5593,2417.845
2439.0608,2439.5916,2440.7773
2437.792,2438.2578,2439.5918
2436.9653,2438.189,2439.1516
2434.3582,2433.548,2433.864
2433.5823,2433.073,2433.58
2433.4888,2432.569,2433.2646
2433.4277,2432.37,2432.8774
2433.207,2432.4043,2432.7268
2433.0405,2432.0999,2432.8472
2433.18,2433.0918,2433.0725
2433.1665,2432.9958,2433.0115
2433.0984,2432.9224,2433.471
2433.4153,2432.8599,2433.6606
2433.4753,2433.1829,2434.105
2447.5798,2448.2136,2448.2463
2448.3777,2448.5808,2448.974
2449.3171,2449.9973,2451.2598
2451.6665,2451.3447,2450.4866
2451.946,2451.9856,2450.7195
2449.4202,2435.612,2435.2205
2446.8303,2432.7217,2432.6885
2447.4475,2448.164,2447.9468
2445.4458,2447.1272,2447.6492
2440.2842,2443.0198,2441.091
2439.3772,2440.0576,2441.3816
2437.9465,2438.8396,2441.5562
2436.8894,2438.443,2440.1638
2434.3225,2434.6052,2434.68
2434.1345,2433.431,2435.1892
2434.0657,2432.6448,2434.198
2433.9714,2433.1626,2434.0144
2433.9255,2433.0564,2434.0098
2433.9683,2433.2896,2434.5083
2434.5479,2434.432,2434.5938
2446.4944,2446.5942,2447.1318
2447.4128,2447.1416,2447.2676
2447.8882,2447.0662,2447.5098
2448.952,2447.7139,2448.9482
2471.333,2473.2075,2471.9922
2473.6318,2475.2915,2472.7673
2474.0525,2476.14,2475.2131
2460.5532,2447.2498,2443.4177
2371.046,2371.0627,2367.8604
2364.3623,2361.0557,2359.287
2349.4448,2350.58,2349.074
2358.4946,2352.2217,2351.493
2349.9666,2350.9573,2346.119
2431.597,2419.143,2413.8953
2441.791,2442.0432,2445.6296
2448.7651,2449.0303,2451.7717
2448.2107,2448.9758,2451.1858
2447.5566,2447.1802,2447.8477
2447.3135,2446.729,2448.286
2446.7502,2445.996,2447.3425
2446.377,2446.0642,2447.0334
2433.7988,2432.8357,2433.7898
2433.247,2432.9626,2433.03
2433.3726,2433.4373,2433.0945
2433.6082,2433.7605,2433.2727
2433.4087,2433.6868,2433.732
2433.8992,2433.6243,2433.9219
2433.9592,2433.9475,2434.366
2451.9253,2451.9763,2451.9766
2460.2383,2460.446,2459.4932
2460.304,2459.8496,2461.1384
2370.0627,2374.3628,2379.366
2368.8325,2367.2524,2378.0693
2351.2935,2350.1897,2372.0354
2345.1135,2347.791,2362.6604
2360.8096,2352.2517,2368.0632
2365.9358,2367.4724,2373.6975
2444.7012,2446.2314,2445.7854
2452.1238,2452.7505,2453.3188
2463.368,2466.5452,2464.113
2462.8088,2465.6677,2463.8474
2465.6077,2465.9395,2467.336
2462.044,2462.8567,2465.1245
2461.8125,2462.52,2463.77
2461.855,2462.5881,2462.0193
2461.4656,2462.1875,2462.0146
2450.7534,2452.1853,2451.3928
2449.1343,2448.9138,2449.0361
2449.8057,2449.249,2449.06
2449.9304,2449.252,2449.2412
2459.1372,2460.0244,2459.9783
2462.167,2461.9363,2462.764
2473.1665,2473.8098,2470.9067
2473.2012,2475.1157,2472.7034
2474.1409,2475.904,2474.0884
2469.9187,2471.7134,2470.7046
2374.074,2379.5806,2386.0034
2375.123,2380.4446,2385.7961
2360.5862,2357.9578,2371.3857
2369.0073,2371.204,2379.147
2446.4705,2448.86,2448.6597
2444.2239,2445.9666,2445.2644
2450.6597,2451.2122,2451.7017
2449.254,2450.7603,2450.476
2449.7031,2451.0261,2450.157
2451.7424,2453.0005,2450.97
2449.594,2449.642,2448.8574
2448.2263,2447.7336,2447.5444
2446.785,2447.287,2446.7036
2446.622,2446.8237,2447.1228
2446.4507,2446.1775,2446.567
2446.1418,2446.4949,2446.7722
2446.4111,2446.9797,2446.796
2446.536,2446.9824,2446.7314
2446.9312,2446.9238,2447.041
2447.0522,2447.432,2447.6165
2458.4724,2458.6753,2458.1118
2461.1926,2461.9995,2460.3577
2463.2007,2464.7039,2463.7058
2461.3833,2463.0674,2463.2102
2377.3005,2374.9055,2386.8513
2355.4219,2353.2366,2371.8289
2373.2622,2373.327,2384.0332
2363.7544,2356.9275,2370.258
2364.3198,2366.7754,2375.4019
2450.8054,2452.7178,2453.297
2452.4893,2453.3323,2453.2275
2462.2817,2465.748,2463.0215
2462.0127,2465.3674,2464.241
2476.197,2475.9956,2475.487
2476.3188,2475.9177,2475.9368
2476.5405,2476.4646,2475.811
2476.9866,2477.1658,2476.3264
2476.9404,2477.2031,2476.3218
2476.6536,2476.086,2475.4036
2475.872,2476.0872,2475.324
2475.9783,2477.1086,2476.7913
2476.9424,2477.1113,2476.7268
2477.338,2476.9534,2476.8467
2478.7097,2477.9995,2477.3218
2485.3762,2481.7869,2482.5667
2491.6348,2490.0823,2489.2947
2489.5488,2487.6382,2488.8735
2488.283,2472.2651,2466.66
2375.2415,2372.8474,2371.136
2371.7898,2369.5427,2370.7554
2367.6687,2364.8386,2359.9175
2366.1685,2361.8462,2360.1995
2358.4685,2358.0261,2357.9802
2458.208,2461.0613,2462.7231
2463.6104,2465.6333,2463.7395
2461.6465,2465.2566,2462.9375
2461.1895,2464.9314,2462.426
2461.52,2461.8523,2463.613
2461.7432,2461.7747,2462.0342
2461.5996,2461.4866,2461.9084
2461.6472,2461.5544,2461.7537
2451.325,2451.8455,2450.7869
2448.14,2447.2537,2448.0232
2447.2512,2447.1528,2447.4802
2447.5203,2447.3735,2447.504
2447.5652,2447.2554,2447.0767
2447.1663,2446.7544,2447.1965
2447.65,2447.3528,2448.102
2459.9744,2459.7031,2459.3044
2460.5315,2461.193,2460.2766
2460.9673,2460.597,2461.384
2451.6094,2452.345,2454.5664
2449.6729,2438.152,2439.74
2447.6677,2435.9565,2435.199
2360.5388,2361.8286,2355.706
2363.5332,2360.7852,2369.5388
2436.936,2424.8315,2424.4531
2431.1387,2419.985,2416.8386
2439.4446,2440.334,2442.3433
2438.0225,2439.1035,2440.9028
2436.9653,2438.4597,2439.5105
2434.3984,2434.7764,2434.0264
2434.2104,2433.5916,2434.5361
2434.117,2433.2551,2434.2205
2434.0474,2433.3232,2433.9114
2434.0012,2433.2173,2434.3003
2433.0405,2432.3706,2432.8472
2433.2703,2433.1494,2433.1511
2433.3564,2433.2534,2433.0898
2433.4246,2433.23,2433.549
2433.989,2433.2727,2434.0547
2435.3992,2434.3604,2435.6165
2459.0713,2458.3997,2458.726
2459.9866,2459.9893,2459.6985
2460.0522,2459.8071,2461.267
2449.1045,2436.2407,2432.54
2363.9143,2363.8787,2358.6975
2361.6826,2361.9214,2355.4663
