XGB_Predicted_V1,XGB_Predicted_V2,XGB_Predicted_V3
1.0197739747702073,1.019589194926842,1.0197900045673447
1.0189335137701692,1.0188925441068362,1.019028859836259
1.0199983086584568,1.0199086667019979,1.0198853922692712
1.0251152697197212,1.025161194047624,1.025306211666921
1.0253743695316322,1.0251659821688468,1.025355966491802
1.0255757204380123,1.0253004659214537,1.0257746564658623
1.030274907513624,1.0303252452402192,1.0293648730304261
1.0300486583768853,1.0310294737825079,1.0296875507650094
1.0303420244824173,1.031047960094012,1.0304721364721685
1.0250822108653652,1.0208630433513028,1.0188735581652917
0.9875686134311368,0.9872070478250567,0.9858132049191677
0.9858304421555699,0.9845611736731484,0.983616956168003
0.9846675948718058,0.9840316907375749,0.9814906556225287
0.9848883064422607,0.9834989602067374,0.9825684408918732
0.9793518226902014,0.9801851639621603,0.9798099001657993
1.0173852019100473,1.0132224093189046,1.0115233340940182
1.02602846852651,1.0267462287157332,1.026204629751674
1.0252631602117521,1.0265763961377505,1.0263144234531056
1.0260088580474147,1.026843323486965,1.0272247910229972
1.0308274983385772,1.0307887770104274,1.0306342664203578
1.0306995930481722,1.030715539573636,1.0308215027780896
1.0301571197315422,1.0305754766189086,1.0307691248954953
1.0304290017453264,1.030603872259552,1.0308739222965206
1.0304099325321083,1.0303957763476235,1.0308720070480313
1.0248322709375328,1.0248054158228481,1.0265350101160504
1.0248338947351647,1.024901303154815,1.0261197759164378
1.0250379103350948,1.025006183827514,1.0265117356833238
1.025779611130432,1.0256686516255722,1.0272133411678992
1.0259442392288245,1.0256426292276217,1.0272133411678992
1.0280880268257215,1.027171830238689,1.02781052397398
1.0346300160345785,1.033738218047864,1.0336396243865102
1.03527682875803,1.0344073892156347,1.034169523680451
1.0353115530458548,1.0344565195029647,1.0351877697032852
1.0300631060122274,1.0244458903727673,1.022579897078469
0.9867261122750994,0.9871851890107785,0.9860191357675868
0.9868951537721843,0.9868322420228997,0.9856078569724627
0.9855344946281613,0.9862654533776248,0.9842245479332639
0.9834512871736926,0.9823366958246873,0.9813636663205314
1.0187757555848356,1.0142417795093304,1.0140432598398474
1.0166907161535512,1.01203099985115,1.010799786523491
1.0211262234752128,1.0213652964496613,1.0220650699574212
1.0213206628326967,1.0225023711504955,1.0225378448833813
1.0248425549892026,1.0257966818234874,1.0259095149409996
1.0249947756082525,1.0249916529204983,1.025409551813661
1.02459007527533,1.0245663428483995,1.0255966632638827
1.020481659086944,1.020691170617321,1.0207168599285776
1.019666221224775,1.019394422482664,1.0196628903578373
1.0191766670566162,1.018755437296516,1.0189879734445995
1.01877658830157,1.01858285675331,1.0190228642757713
1.0188768890322295,1.0187818760528335,1.0190074173803478
1.018982227699132,1.0189154438170327,1.0191181270701875
1.0190340643158489,1.0189165263487872,1.0190411840439282
1.019198734050078,1.0188564874722366,1.0190411840439282
1.0192236322804369,1.0189711525665646,1.0192261304306403
1.0239903110473725,1.0240140018384665,1.0240661299060405
1.0246409542678023,1.0247792268815508,1.024566551027583
1.024492564145731,1.0246995775259047,1.0251708951975798
1.0215025281674917,1.021245884869947,1.0223621416524211
1.019963750913979,1.0207125298015587,1.0205611418992433
1.0201665174388073,1.0148192269288057,1.0156687645412488
1.0186272405552539,1.0129130966879085,1.0123109175814216
