Metric,NN_Train,NN_Val,LR_Train,LR_Val,XGB_Train,XGB_Val
MSE,0.009774885792285203,0.008343814825639128,0.006632374343280273,0.006065518123556071,0.0026755520466400736,0.004513049920339948
MAE,0.07695785909891129,0.07217735052108765,0.06520566793101427,0.06322980370165514,0.03656814818459625,0.05329550197226774
MAPE,0.4380790591239929,0.4298534393310547,0.42409396240309677,0.35832500236179543,0.19148083303975094,0.26447040522420195
95th Percentile Error,0.18987877152860158,0.16760670997202395,0.15247900346018672,0.1451741303207843,0.11077681308335181,0.13593627339248293
