LR_Predicted_V1,LR_Predicted_V2,LR_Predicted_V3
2452.9245819324256,2452.94892165184,2452.950668602288
2456.0213043993713,2456.0658358973265,2456.0389138415458
2452.9935846990347,2453.0299496290086,2453.0332052233816
2441.716085233092,2441.728920903504,2441.760078392327
2439.218895661235,2439.211620405018,2439.228955345452
2435.1389945882556,2435.120503398478,2435.150270653069
2427.1059751194716,2427.122575293183,2427.123584251702
2423.0811876052617,2423.0728890028595,2423.093045921624
2421.361088466048,2421.3731416535375,2421.3494598010184
2419.4384741991757,2419.465817618072,2419.4717516711357
2424.899592515826,2424.9359817695617,2424.915729637444
2422.503529540896,2422.518178119957,2422.4808993151787
2422.3823616498707,2422.4034562048314,2422.3914846423268
2426.171240834594,2426.1589098629356,2426.15377895385
2425.117239357829,2425.1233770158888,2425.1151931384206
2422.91528948009,2422.949328893125,2422.8935824206474
2420.7051927894354,2420.740948816836,2420.702922935784
2419.225454854369,2419.2659978580473,2419.2241418078543
2418.613705098033,2418.6344665427505,2418.5982390978934
2419.056218752265,2419.093663137108,2419.0349953845143
2422.0257757157087,2422.079596144408,2422.047582054436
2425.225552343726,2425.256611456424,2425.2321200183037
2428.607164761424,2428.6443465207517,2428.619560509026
2431.8216432636978,2431.7981313501296,2431.7834643176197
2435.1239098876713,2435.168653426021,2435.1296364977957
2439.0532057398555,2439.0333689291774,2439.01573574096
2437.960753723979,2437.966224089712,2437.9496377184987
2433.2860815781355,2433.320543951243,2433.320708885491
2360.037569500804,2360.0546037425097,2360.0299088671804
2345.298043939471,2345.330937143117,2345.2833658984305
2350.829521705508,2350.860349435061,2350.8244963458183
2344.2954285019637,2344.305565533489,2344.27831058532
2354.692944564223,2354.727039428502,2354.6839431384205
2410.8184342116115,2410.8235978861153,2410.798528404534
2424.4157201856374,2424.466063155681,2424.403314781487
2428.275751337409,2428.239099179655,2428.2103164294363
2431.982504200339,2431.967131600231,2431.938220482171
2437.577396811843,2437.6435090993346,2437.5713448718193
2437.585960032344,2437.5625818614662,2437.564466820061
2438.13383823812,2438.105284619778,2438.094076805413
2440.064290370345,2440.086618461162,2440.0474435046317
2440.7275201934576,2440.722706550807,2440.7146145251395
2441.993614172339,2442.015305944234,2441.973297996819
2443.630344483256,2443.6126417209207,2443.5896401599052
2446.440511369109,2446.43107885167,2446.382129173577
2449.6249279302356,2449.6480675180255,2449.5873012927177
2452.674932152629,2452.689044478983,2452.6549123767018
2456.6269759482143,2456.594895196408,2456.582279930413
2461.023635584712,2461.0180086408554,2461.02550136596
2465.173748349547,2465.1969636012614,2465.159210472405
2463.2741170948743,2463.30331996277,2463.28838039428
2438.388095366359,2438.380443944484,2438.376076927483
2362.4851259750126,2362.506954256147,2362.469897728264
2346.7820534104108,2346.791939066797,2346.7621470263603
2339.4312035936114,2339.4373724286256,2339.4129487231376
2338.270615207553,2338.2656937752663,2338.2307835772635
2408.1124699658153,2408.1306819234787,2408.085136986077
2411.724375926852,2411.7517963667215,2411.6892361071705
2437.8828049105405,2437.8914755289256,2437.8464669421314
2438.9121107310057,2438.901769823283,2438.8850527575614
2439.4595859616993,2439.4663397257027,2439.4009066393974
2441.5625987404583,2441.586290844232,2441.539980736077
2438.2116392940284,2438.2079446826874,2438.1559792712333
2437.082388936877,2437.1392820377646,2437.0692470934987
2436.090935909152,2436.083379704207,2436.0581734851003
2433.7117038601637,2433.744407915026,2433.7058797839286
2431.3276898401973,2431.2947236348687,2431.2572933581473
2430.6079897755385,2430.6381921832262,2430.603878441155
2431.9159864467383,2431.937151584476,2431.9175863268974
2433.9699101442097,2433.989741690904,2433.987879905999
2435.855820097327,2435.8936473061144,2435.8793441393973
2438.7246534389255,2438.728337043971,2438.719979515374
2442.2228532642125,2442.2551595021782,2442.234663963616
2446.168093497157,2446.1659934569893,2446.1482754138115
2444.3088067644835,2444.344485873431,2444.325591697991
2438.2192891043424,2438.271477601379,2438.2453939440848
2437.5601360458136,2437.5414534722267,2437.5231985095143
2436.1864813011885,2436.175509152263,2436.181978416741
2435.0552026361224,2435.0284041722116,2435.0264657214284
2432.939187194705,2432.975176050216,2432.9389770129324
2431.107604998946,2431.1411566455663,2431.1094152453543
2430.630744435191,2430.6566140432656,2430.6245125964283
2431.4634924429656,2431.482662873417,2431.449878807366
2430.525520924926,2430.5228591163454,2430.4869515612722
2430.3844460648297,2430.406088835448,2430.3356344226004
2432.1357623404265,2432.1436335702238,2432.117049827874
2429.2976155513525,2429.299857147485,2429.2764144518974
2428.4675137466193,2428.440033787936,2428.402901878655
2426.907315120101,2426.915519093424,2426.8415841296314
2425.19314643085,2425.162185152322,2425.1151931384206
2422.9319776856896,2422.9280225311218,2422.903899498284
2421.8993338882924,2421.906029046029,2421.8928258898854
2424.6013624107836,2424.6132768531143,2424.6027782824635
2429.258901399374,2429.2770833496747,2429.2626583483816
2435.326544228792,2435.3313272480664,2435.329099998772
2442.502704347372,2442.536611675173,2442.496029930413
2448.612498370409,2448.5740321104226,2448.6312520983815
2454.720499154329,2454.756960390955,2454.773352318108
2455.4903696167466,2455.5117529560625,2455.4955477526787
2378.5055733191966,2378.51909665361,2378.51983150512
2354.4229092824457,2354.4250767339763,2354.431174736321
2345.1279464781283,2345.1384847839176,2345.1380670550466
2335.4675188553333,2335.4844025824964,2335.478703117669
2334.752567180395,2334.778461862057,2334.770263786614
2352.6859187710284,2352.6992714856565,2352.689308128655
2418.3842762720583,2418.3952510003746,2418.360946312249
2442.732480739355,2442.734060703665,2442.716127586663
2444.880002115965,2444.8555967871844,2444.841445579827
2447.4761287868023,2447.5063701425493,2447.4894955065847
2450.518765281439,2450.5116450954974,2450.481448021233
2449.31337949872,2449.292142138332,2449.284667015374
2448.1456920349597,2448.114976551086,2448.1016421130303
2445.7755336415767,2445.8149102796615,2445.7699825671316
2445.032595347166,2445.0322935198246,2445.0340310290458
2445.3416453331706,2445.379239669889,2445.3779336169364
2445.3660857719183,2445.3520266269147,2445.3641775134206
2447.8784876531363,2447.90926018402,2447.915934715569
2449.8530924218894,2449.908142811507,2449.9174477770925
2450.0058132618665,2450.039809076935,2450.0274966052175
2451.981344873309,2452.0025598753987,2452.0083755114674
2451.7472029179335,2451.7771657650173,2451.795155906975
2453.317267717719,2453.3591891680658,2453.349595604241
2451.5287434095144,2451.52002534315,2451.554424095452
2443.049771565795,2443.010496059507,2443.066908226311
2375.951082369685,2375.9932333146035,2376.000745048821
2372.45460190475,2372.4677271832525,2372.4860606005786
2375.83485763967,2375.8461405043304,2375.8545864489674
2432.5667643398046,2432.589566156715,2432.6053915026787
2428.5440051335095,2428.565601967722,2428.588609276116
2422.9775088328124,2422.9956991930303,2422.9898751452565
2430.8489957398174,2430.8335324023665,2430.823976097405
2430.0876414841414,2430.098572047502,2430.088024559319
2431.515086686015,2431.5045971770583,2431.5049032214283
2433.899382788539,2433.9017761339246,2433.8984652331474
2431.4383400815723,2431.432125324458,2431.4292446520926
2429.95710442245,2429.9753074397145,2429.977975731194
2428.9599560135603,2428.9810239781436,2428.9737801745537
2430.7044284290073,2430.755351989418,2430.707049217522
2431.4171855688096,2431.476873721629,2431.449878807366
2431.1229801774025,2431.137006186396,2431.119732322991
2433.327079255581,2433.3628746052086,2433.35509914428
2434.878385565281,2434.9197333310544,2434.9508071520927
2436.6624234175683,2436.6773856301606,2436.7184664538504
2438.218169169426,2438.2682942394913,2438.279784202874
2440.437037284374,2440.430186486691,2440.467004661858
2443.86353441,2443.856538282782,2443.892274437249
2444.5539046049116,2444.5569517736135,2444.586957664788
2439.6595976066587,2439.692096497565,2439.7104189684987
2438.334252858162,2438.345265780836,2438.376076927483
2427.997599465847,2428.0421538476644,2428.0314870837333
2427.3860444808006,2427.382741252035,2427.3643160632255
2433.234744231701,2433.2855202545225,2433.2725625231865
2431.036018154621,2431.035944520384,2431.0234395983816
2430.7023144888876,2430.6785953585804,2430.693293114007
2433.433901233673,2433.415212029666,2433.444513817132
2433.267687444687,2433.2742374528943,2433.3000747302176
2433.629847867489,2433.681345113069,2433.657733421624
2436.2456397223473,2436.279633293003,2436.250758934319
2434.7951241970063,2434.8204984043537,2434.813246116936
2433.965116419792,2434.0003193174302,2433.981001854241
2434.869426085949,2434.8725806225834,2434.861392479241
2435.477448322773,2435.4763448287545,2435.5079293444755
2436.4112272208927,2436.408374760747,2436.402076072991
2437.87213950336,2437.8825332370398,2437.860223045647
2441.839308297038,2441.843649534583,2441.870127220452
2445.2370397180316,2445.2581812527774,2445.2678847888114
2447.9104368609187,2447.972124865353,2447.984715233147
2453.244853095412,2453.2455250155926,2453.280815086663
2459.0943252152206,2459.1108961579203,2459.113402977288
2463.854454943538,2463.8523390752075,2463.8661367419363
2462.098551468253,2462.156184760928,2462.160379905999
2440.7628611081836,2440.8157527264952,2440.8109072497487
2365.0839592951534,2365.119221692979,2365.0955939868095
2349.0752771443126,2349.095205489993,2349.0877882769705
2340.94904953897,2340.993428598046,2340.9794250109794
2341.276540672183,2341.2885947477816,2341.277760505974
2355.427037555575,2355.460901724994,2355.4353702929616
2411.944272713065,2411.9896989402173,2411.9506020739677
2439.205785538554,2439.19223816365,2439.2083211901786
2440.0136565512416,2440.0420346048472,2440.0543215563894
2440.5659540504216,2440.5675646704435,2440.549541282952
2442.878581034541,2442.8977385607363,2442.853688621819
2439.8185091513396,2439.8524768215416,2439.8479800036553
2437.6407041972875,2437.6521894690395,2437.6401253893973
2436.548185018897,2436.5326266136763,2436.519002952874
2434.468813444972,2434.469015627801,2434.448709373772
2432.0070520991085,2432.035412697941,2431.9863668444755
2431.0324702948333,2430.992841531783,2430.9959273913505
2436.938231317401,2436.949052659124,2436.924808006585
2439.249232968688,2439.26578121081,2439.263345604241
2439.81738753736,2439.7970735643803,2439.8067116931084
2442.346479303241,2442.3605126623806,2442.3309566882253
2445.8222804301977,2445.8514383499323,2445.831885032952
2450.9741422361135,2450.9315667946635,2450.9766677477955
2450.1672047823668,2450.1883122374115,2450.1719356921317
2389.481622237563,2389.4963828478753,2389.480006981194
2372.170491039157,2372.183225967437,2372.1696702197196
2361.744021217227,2361.748985045105,2361.7339461901784
2358.097842225432,2358.123129138797,2358.078261680901
2364.074479848742,2364.1040684063732,2364.069044761956
2380.4248915857074,2380.4501414363085,2380.4181737902763
2441.628491882682,2441.6214488600194,2441.5950051501395
2448.200055052638,2448.2341847230496,2448.211690941155
2452.688378087878,2452.692483047098,2452.6686684802175
2457.098517240882,2457.1201767717303,2457.0774996569753
2460.0328944796324,2460.001508805603,2459.9731594470145
2457.619080452323,2457.650441584438,2457.6002315905694
2456.313763565421,2456.3192388911543,2456.3071578601002
2453.212729265094,2453.2143797819317,2453.205156517327
2450.8320062083003,2450.82161992237,2450.8253506091237
2449.807260722518,2449.8349993635716,2449.786764793694
2449.1626483482123,2449.1529069934786,2449.1127157214287
2450.4624108952285,2450.4284612973033,2450.3989114001392
2452.302267512679,2452.3245562587676,2452.28349758178
2456.354820010066,2456.3749678720533,2456.348426170647
2460.096544393897,2460.0700719733536,2460.076330223382
2463.2095537704226,2463.1986048181357,2463.205843773186
2466.9614196938273,2466.9523660559953,2466.933747825921
2466.6058949273825,2466.615473688096,2466.596723289788
2461.1269718283415,2461.106262983829,2461.1011599352955
2395.7504033631085,2395.7663095881044,2395.7269974902274
2378.4956953924893,2378.5238716964423,2378.494038811028
2366.372431823611,2366.386001603752,2366.348259163201
2374.356402508616,2374.369409817904,2374.3293784716725
2440.6997552102803,2440.6831092898547,2440.6458340075615
2439.598511621356,2439.6197119523586,2439.552223778069
2444.437436410785,2444.469335446209,2444.394372215569
2444.766049157977,2444.793715993017,2444.731396751702
2445.327225541472,2445.407245195359,2445.3229092028737
2448.6872049134968,2448.7199093331396,2448.6450082018973
2445.497563108802,2445.527702534646,2445.4811043933037
2443.459395737052,2443.4692494009437,2443.4245669177176
2442.587109157443,2442.588875224143,2442.5579323962334
2440.9269794267416,2440.9333322797715,2440.9003219226006
2439.222911979556,2439.20979030773,2439.2014431384205
2439.7006658047435,2439.682976232916,2439.6553945544365
2441.821893057227,2441.79698373273,2441.821980858147
2443.3266826099157,2443.324063921422,2443.3145180895926
2444.8647377556563,2444.8383502189813,2444.841445579827
2447.281077093482,2447.2344814871253,2447.255641746819
2450.785234233737,2450.784218778163,2450.784082298577
2456.0106389921903,2456.0144487802686,2455.997645530999
2457.187588166594,2457.149337441176,2457.160036278069
2455.3629102772475,2455.397004177123,2455.371742821038
2380.090428983569,2380.1000387881695,2380.088027305901
2367.843814741969,2367.855573083907,2367.8304793170096
2378.3152498668433,2378.330660434514,2378.3014533618093
2368.50821319282,2368.5203248624503,2368.4890527728203
2381.0870333760977,2381.0831469033656,2381.044076500237
2443.7826690644024,2443.84500699088,2443.7891036608817
2450.867024742961,2450.870928451866,2450.818472557366
2454.667012607455,2454.7204054568706,2454.6564254382256
2458.3960970062017,2458.394844569713,2458.3568172839286
2463.403492245078,2463.4033070762457,2463.357160911858
2462.9526034253836,2462.9335261394085,2462.896331444085
2464.5533211964366,2464.5464630757274,2464.505795555413
2465.488243536353,2465.5015790973603,2465.454966697991
2465.814995881915,2465.8076519553365,2465.750722923577
2465.745360108614,2465.757826297432,2465.7644790270924
2467.20362618804,2467.2046508435906,2467.1951137927176
2470.270656107664,2470.297609283477,2470.2833590319756
2472.3564081203936,2472.3570966739953,2472.3605306628347
2473.971700156927,2474.0088921163974,2473.9837508776786
2476.9617148220536,2476.9904463221133,2476.961947288811
2479.825665448904,2479.827123982161,2479.809460716546
2484.0080363690854,2484.037811822146,2484.053218651116
2482.4930448305604,2482.5330487464366,2482.519413109124
2464.1800839960574,2464.1833986376228,2464.196283226311
2387.902408224344,2387.9072539661825,2387.908372154534
2370.1538811552523,2370.1437386859952,2370.152681541741
2360.546276849508,2360.559569558948,2360.559518852532
2366.5107043278217,2366.5165395890176,2366.5141921618583
2392.753281224966,2392.7867097248136,2392.7402035143973
2449.47692021966,2449.492311127931,2449.463496361077
2456.7581493747234,2456.729993313998,2456.740475120843
2456.6921420562267,2456.7235594306885,2456.6785726550224
2455.9110890352727,2455.9585854803026,2455.928865013421
2457.427538000345,2457.4372234974803,2457.4007680895925
2453.8017025339605,2453.8138256300986,2453.789790916741
2451.5782405030727,2451.54536463514,2451.5269118884207
2449.36839902997,2449.374694636911,2449.353447532952
2447.5506187307833,2447.5770286877455,2447.551397972405
2445.372882618308,2445.3601394985617,2445.3710555651787
2443.2869895642993,2443.303855617791,2443.2732497790457
2443.7466498082877,2443.749224064201,2443.7478353503348
2444.722272631526,2444.752641222328,2444.772665062249
2445.983363003135,2446.0119362030923,2446.0313485339284
2446.9622499245406,2446.96884538427,2446.966763572991
2448.1043081730604,2448.11681000635,2448.1291543200614
2451.1606122392413,2451.1918099869786,2451.1898873522878
2451.0002550214526,2450.9844347794356,2451.0179360583425
2440.640255939364,2440.6465610717237,2440.666468162835
2434.7951292341945,2434.8120631669462,2434.8201241686943
2426.7320276755095,2426.7185871933398,2426.7315353015065
2370.9854286330938,2370.989163041562,2371.00555995971
2370.3940156859157,2370.409529255777,2370.419206047356
2425.6678712266685,2425.711449397057,2425.6998275378346
2422.2166515797376,2422.2153255616126,2422.2195333483814
2434.0769537585975,2434.078647481352,2434.0772945788503
2433.0202523487806,2433.0426848132906,2433.0318307116627
2433.633983399272,2433.702648117095,2433.657733421624
2436.3096909326314,2436.2916078378257,2436.2989052966236
2434.6768761962653,2434.672512372285,2434.67568508178
2434.3483507603405,2434.3645321835575,2434.3592947009206
2434.676406058669,2434.660249041468,2434.634416771233
2434.6461896437404,2434.630269025713,2434.648172874749
2433.748114337921,2433.7440922652186,2433.760904197991
2433.6971648550034,2433.7112646852433,2433.7058797839286
2435.803972315788,2435.767750044614,2435.803685570061
2437.82004322052,2437.80626351282,2437.8533449938896
2440.760767316818,2440.794809025973,2440.8246633532644
2443.447133541107,2443.4765966539085,2443.4795913317803
2447.0348274159433,2447.0818815951047,2447.0836904528737
2451.302434282303,2451.351273583323,2451.375594749749
2449.8986168527604,2449.960722010285,2449.951838035882
2428.019225795269,2428.042140415758,2428.065877342522
2359.3998966932295,2359.4303961743412,2359.4452744677665
2353.988310730457,2354.030803260654,2354.037406273186
2404.29295292139,2404.3327834402025,2404.3159646227955
2401.791800761223,2401.8233876188096,2401.8261098864677
2405.1188772177693,2405.1556959201394,2405.148208885491
2409.8284604382516,2409.8146199186144,2409.8424792101982
2422.187874121666,2422.2452115540204,2422.212655296624
2422.6794835734368,2422.698135447949,2422.687240867913
2422.1737431287766,2422.1442774911225,2422.1541918566822
2420.1568998551365,2420.220673984736,2420.193947105706
