Metric,NN_Train,NN_Val,LR_Train,LR_Val,XGB_Train,XGB_Val
MSE,0.009774885792285203,0.008343814825639128,0.006632374343280273,0.006065518123556071,0.0035560775740579257,0.0052928295649012184
MAE,0.07695785909891129,0.07217735052108765,0.06520566793101427,0.06322980370165514,0.04180538148153226,0.05831243391381613
MAPE,0.4380790591239929,0.4298534393310547,0.42409396240309677,0.35832500236179543,0.21372249459708878,0.29505309900364013
95th Percentile Error,0.18987877152860158,0.16760670997202395,0.15247900346018672,0.1451741303207843,0.12550859551626609,0.14500306239712746
